,0,1,2,country
0,39.99,Nicolas Feuillatte Brut with Gift Box,https://www.i-d-s.com/dubai/nicolas-feuillatte-brut-with-gift-box-cp1066.html,france
1,37.00,Chateau Fleur de Pedesclaux,https://www.i-d-s.com/dubai/chateau-fleur-de-pedesclaux-fr1399.html,france
2,34.30,Domaine Cailbourdin Pouilly Fume ‘Les Racines’,https://www.i-d-s.com/dubai/domaine-cailbourdin-pouilly-fume-les-racines-fr1380.html,france
3,111.70,2018 Chateau Croix Mouton,https://www.i-d-s.com/dubai/2018-chateau-croix-mouton-fw1253.html,france
4,"1,487.50","2010 Château Beychevelle, 4ème Cru Classé, Saint-Julien",https://www.i-d-s.com/dubai/2010-ch-teau-beychevelle-4-me-cru-class-saint-julien-fw1225.html,france
5,350.45,"2020 Sarget D Gruaud Larose, Saint-Julien",https://www.i-d-s.com/dubai/2020-sarget-d-gruaud-larose-saint-julien-fw1249.html,france
6,720.05,2017 Château Les Ormes de Pez Cru Bourgeois Saint Estephe,https://www.i-d-s.com/dubai/2017-ch-teau-les-ormes-de-pez-cru-bourgeois-saint-estephe-fw1248.html,france
7,"1,011.80","2015 Château Corbin, Saint-Emilion",https://www.i-d-s.com/dubai/2015-ch-teau-corbin-saint-emilion-fw1246.html,france
8,189.45,2020 Brulieres de Beychevelle,https://www.i-d-s.com/dubai/2020-brulieres-de-beychevelle-fw1247.html,france
9,24.55,"Clos l'Hermitage, Lalande de Pomerol",https://www.i-d-s.com/dubai/clos-l-hermitage-lalande-de-pomerol-fr1320.html,france
10,45.00,"Château Tayac, Margaux",https://www.i-d-s.com/dubai/ch-teau-tayac-margaux-fr1319.html,france
11,12.60,"Château des Antonins, Bordeaux Supérieur",https://www.i-d-s.com/dubai/ch-teau-des-antonins-bordeaux-sup-rieur-fr1332.html,france
0,22.80,"Château Mouras Graves, Bordeaux",https://www.i-d-s.com/dubai/ch-teau-mouras-graves-bordeaux-fr1337.html,france
1,42.95,"Château Fleur de Lisse Saint-Émilion Grand Cru, Bordeaux",https://www.i-d-s.com/dubai/ch-teau-fleur-de-lisse-saint-milion-grand-cru-bordeaux-fr1336.html,france
2,71.60,"Baron Philippe de Rothschild, Mouton Cadet Blanc",https://www.i-d-s.com/dubai/baron-philippe-de-rothschild-mini-mouton-cadet-blanc-mw1000.html,france
3,67.70,"Baron Philippe de Rothschild, Mouton Cadet Rouge",https://www.i-d-s.com/dubai/baron-philippe-de-rothschild-mouton-cadet-rouge-mw1001.html,france
4,109.45,Taittinger Rose including 2 glasses,https://www.i-d-s.com/dubai/taittinger-rose-including-2-glasses-zz11289.html,france
5,14.80,"Domaine de Grange Neuve, Monbazillac",https://www.i-d-s.com/dubai/domaine-de-grange-neuve-monbazillac-dw1003.html,france
6,23.55,"Louis Tete, Brouilly",https://www.i-d-s.com/dubai/louis-tete-brouilly-fr1344.html,france
7,38.35,Minuty Prestige Magnum (1.5L),https://www.i-d-s.com/dubai/minuty-prestige-magnum-1-5l-fr4319.html,france
8,44.80,Maison Champy Volnay- BIO,https://www.i-d-s.com/dubai/maison-champy-volnay-bio-fr4403.html,france
9,438.05,"2020 Château Pibran, Pauillac",https://www.i-d-s.com/dubai/2020-ch-teau-pibran-pauillac-fw1243.html,france
10,71.40,"Domaine du Closel Clos du Papillon Savennières, 2020",https://www.i-d-s.com/dubai/domaine-du-closel-clos-du-papillon-savenni-res-2020-fr1314.html,france
11,25.50,"Domaine Marcel Couturier  ""Aux Scellés"" Mâcon Blanc, 2020",https://www.i-d-s.com/dubai/domaine-marcel-couturier-aux-scell-s-m-con-blanc-2020-fr1312.html,france
0,748.15,"2019 Château Pape Clément Grand Cru Classé de Graves, Pessac-Léognan",https://www.i-d-s.com/dubai/2019-ch-teau-pape-cl-ment-grand-cru-class-de-graves-pessac-l-ognan-fw1204.html,france
1,149.45,Antoine Geoffroy Puligny Montrachet Vieilles Vignes,https://www.i-d-s.com/dubai/antoine-geoffroy-puligny-montrachet-vieilles-vignes-fr1303.html,france
2,27.10,Domaine Figeat L'Héritage` Pouilly-Fumé,https://www.i-d-s.com/dubai/domaine-figeat-l-h-ritage-pouilly-fum-fr1339.html,france
3,36.45,"Château Tour de Capet Saint-Émilion Grand Cru, Bordeaux",https://www.i-d-s.com/dubai/ch-teau-tour-de-capet-saint-milion-grand-cru-bordeaux-fr1335.html,france
4,28.05,"Château Patache d'Aux Médoc Cru Bourgeois, Bordeaux",https://www.i-d-s.com/dubai/ch-teau-patache-d-aux-m-doc-cru-bourgeois-bordeaux-fr1333.html,france
5,179.99,Domaine Chanson Corton Vergennes Grand Gru ,https://www.i-d-s.com/dubai/domaine-chanson-corton-vergennes-grand-gru-fr1353.html,france
6,23.25,Chateau Lamarsalle Montagne Saint-Emilion,https://www.i-d-s.com/dubai/chateau-lamarsalle-montagne-saint-emilion-fr1372.html,france
7,461.55,"2020  Château Beychevelle ""Amiral De Beychevelle"" Saint-Julien",https://www.i-d-s.com/dubai/2020-ch-teau-beychevelle-amiral-de-beychevelle-saint-julien-fw1226.html,france
8,78.20,La Chablisienne Chablis Grand Cru Les Clos,https://www.i-d-s.com/dubai/la-chablisienne-chablis-grand-cru-les-clos-fr1157.html,france
9,39.55,Pouilly Fume Les Cris Domaine Cailbourdin,https://www.i-d-s.com/dubai/pouilly-fume-les-cris-domaine-cailbourdin-fr1361.html,france
10,671.15,Cristal Roederer Brut 2009 Magnum,https://www.i-d-s.com/dubai/cristal-roederer-brut-2009-magnum-cp4028.html,france
11,92.50,Bollinger Special Cuvée Brut,https://www.i-d-s.com/dubai/bollinger-special-cuv-e-brut-cp1071.html,france
