prix,name,country,vivino_url,vivino_rating
7150,"2016 Château Angelus, 1er Grand Cru Classé, Saint Emilion",france,https://www.vivino.com/FR/en/wines/1766232,4.6
268.2,Krug Grande Cuvee Brut,france,https://www.vivino.com/FR/en/wines/164942599,4.6
544.4,"Dom Pérignon Vintage Rosé, in individual Gift Box",france,https://www.vivino.com/FR/en/wines/4089408,4.6
40.7,"The Prisoner Red Zinfandel Blend, Napa Valley",usa,https://www.vivino.com/FR/en/wines/155656811,4.6
163.55,Perrier-Jouët Belle Epoque,france,https://www.vivino.com/FR/en/wines/1517638,4.5
362.49,Remoissenet Clos Vougeot Grand Cru,france,https://www.vivino.com/FR/en/wines/2755784,4.5
69.65,Remoissenet Pommard,france,https://www.vivino.com/FR/en/wines/15869854,4.4
16951.92,"2009 Château Lynch Bages, 5ème Cru Classé, Pauillac",france,https://www.vivino.com/FR/en/wines/1499723,4.4
8390.4,"2012 Le Petit Cheval, Château Cheval Blanc, Saint Emilion Grand Cru",france,https://www.vivino.com/FR/en/wines/1575102,4.4
21445.2,"2010 Château Figeac, 1st Grand Cru Classé, Saint-Emilion",france,https://www.vivino.com/FR/en/wines/1953783,4.4
113.05,Laurent-Perrier Rosé,france,https://www.vivino.com/FR/en/wines/1469472,4.4
87.95,Ruinart Brut,france,https://www.vivino.com/FR/en/wines/164942595,4.4
162.8,Remoissenet Corton Charlemagne Diamond Jubilee,france,https://www.vivino.com/FR/en/wines/2789151,4.4
38.05,Château Lalande,france,https://www.vivino.com/FR/en/wines/1491165,4.4
75.3,Domaine Chanson Puligny Montrachet,france,https://www.vivino.com/FR/en/wines/1718205,4.4
51.55,Baron de L. Pouilly Fumé,france,https://www.vivino.com/FR/en/wines/1690649,4.4
112.95,Catena Zapata Argentino Malbec,argentina,https://www.vivino.com/FR/en/wines/1469200,4.4
14.55,"Elderton Estate Family Vineyards, Eden Valley Riesling",australia,https://www.vivino.com/FR/en/wines/3250403,4.4
58.45,Jordan Vineyard &amp; Winery Cabernet Sauvignon,usa,https://www.vivino.com/FR/en/wines/147548688,4.4
62.3,"Stag's Leap Wine Cellars ""Artemis"" Cabernet Sauvignon",usa,https://www.vivino.com/FR/en/wines/1571403,4.4
215.45,"FSM Castello Vicchiomaggio, Merlot Toscana IGT",italy,https://www.vivino.com/FR/en/wines/3483261,4.4
148.85,"Domaine Daniel-Etienne Defaix, Chablis Grand Cru Blanchot ",france,https://www.vivino.com/FR/en/wines/4086462,4.3
3139.59,"2016 Château Duhart-Milon Rothschild, 4eme Cru Classé, Pauillac",france,https://www.vivino.com/FR/en/wines/1500807,4.3
75.65,Veuve Clicquot Yellow Label Brut,france,https://www.vivino.com/FR/en/wines/164942636,4.3
10729.04,"2010 Château Beychevelle, 4ème Cru Classé, Saint-Julien",france,https://www.vivino.com/FR/en/wines/2048358,4.3
33.4,Château De Valois Cuvée Louise,france,https://www.vivino.com/FR/en/wines/160075470,4.3
25.1,Château De Plaisance Coteaux De Layon 1Er Cru Chaume,france,https://www.vivino.com/FR/en/wines/1736843,4.3
91,Beau Joie Rosé Champagne ,france,https://www.vivino.com/FR/en/wines/1794534,4.3
84.45,Remoissenet Puligny Montrachet,france,https://www.vivino.com/FR/en/wines/4520930,4.3
98.1,Remoissenet Chassagne Montrachet 1er Cru La Maltroie,france,https://www.vivino.com/FR/en/wines/2959948,4.3
91.95,Remoissenet Meursault Premier Cru Les Cras,france,https://www.vivino.com/FR/en/wines/4346643,4.3
87.55,Veuve Clicquot Rosé,france,https://www.vivino.com/FR/en/wines/1487195,4.3
75.2,"Gevrey-Chambertin, Remoissenet Père Et Fils",france,https://www.vivino.com/FR/en/wines/2092295,4.3
67.43,"Fernand &amp; Laurent Pillot Chassagne Montrachet 1er Cru ""Vide Bourse""",france,https://www.vivino.com/FR/en/wines/1860621,4.3
162.92,Tardieu Laurent Hermitage,france,https://www.vivino.com/FR/en/wines/2344260,4.3
44.55,"Gervais Gobillard Brut, Champagne",france,https://www.vivino.com/FR/en/wines/167677246,4.3
107.75,Domaine Chanson Chassagne-Montrachet,france,https://www.vivino.com/FR/en/wines/3809792,4.3
138.9,"Meursault 1er Cru Les Charmes ,Xavier Monnot",france,https://www.vivino.com/FR/en/wines/4846515,4.3
67.45,"Elderton 'Command' Single Vineyard, Shiraz",australia,https://www.vivino.com/FR/en/wines/4718059,4.3
83.25,"Cullen ""Diana Madeline"" Cabernet - Merlot",australia,https://www.vivino.com/FR/en/wines/1858456,4.3
