,price_usd,Name,IDS link,country,vivino_url,vivino_rating,vivino_name,vivino_price,vivino_country,vivino_region,nb_ratings,confidence,price bucket,confidence bucket
0,16.95,"M.Chapoutier, Rasteau "" Les Gadilles""",https://www.i-d-s.com/dubai/m-chapoutier-rasteau-fr1281.html,france,-,-,-,-,-,-,-,0,less than 20 USD,0
1,7.45,Bellefontaine Chardonnay,https://www.i-d-s.com/dubai/bellefontaine-chardonnay-fr1004.html,france,-,-,-,-,-,-,-,0,less than 10 USD,0
2,10,Cavalier de la Méditerranée Merlot IGP Pays d'Oc,https://www.i-d-s.com/dubai/cavalier-de-la-m-diterran-e-merlot-igp-pays-d-oc-fr2597.html,france,-,-,-,-,-,-,-,0,less than 10 USD,0
3,47.9,Giant Steps `Primavera Vineyard' Yarra Valley Pinot Noir,https://www.i-d-s.com/dubai/giant-steps-primavera-vineyard-yarra-valley-pinot-noir-au4045.html,australia,-,-,-,-,-,-,-,0,less than 50 USD,0
4,23.95,"Peter Lehmann Masters, Margaret Semillon, Barossa Valley",https://www.i-d-s.com/dubai/peter-lehmann-masters-margaret-semillon-barossa-valley-au1004.html,australia,-,-,-,-,-,-,-,0,less than 30 USD,0
5,20.7,Loveblock Marlborough Sauvignon Blanc ,https://www.i-d-s.com/dubai/loveblock-marlborough-sauvignon-blanc-nz1034.html,new_zealand,-,-,-,-,-,-,-,0,less than 30 USD,0
6,18.8,Caymus Conundrum White Blend,https://www.i-d-s.com/dubai/caymus-conundrum-white-blend-us4031.html,usa,-,-,-,-,-,-,-,0,less than 20 USD,0
7,8.1,Barefoot White Zinfandel,https://www.i-d-s.com/dubai/barefoot-white-zinfandel-us2213.html,usa,-,-,-,-,-,-,-,0,less than 10 USD,0
8,17.2,"Nielson Chardonnay, Santa Barbara",https://www.i-d-s.com/dubai/nielson-chardonnay-santa-barbara-us2119.html,usa,-,-,-,-,-,-,-,0,less than 20 USD,0
9,14.15,Wente Vineyards Beyer Ranch Zinfandel,https://www.i-d-s.com/dubai/wente-vineyards-beyer-ranch-zinfandel-us1028.html,usa,-,-,-,-,-,-,-,0,less than 20 USD,0
10,62.3,"Stag's Leap Wine Cellars ""Artemis"" Cabernet Sauvignon",https://www.i-d-s.com/dubai/stag-s-leap-wine-cellars-artemis-cabernet-sauvignon-us1038.html,usa,-,-,-,-,-,-,-,0,less than 70 USD,0
11,91.85,Pine Ridge Vineyards Cabernet Sauvignon,https://www.i-d-s.com/dubai/pine-ridge-vineyards-cabernet-sauvignon-us1039.html,usa,-,-,-,-,-,-,-,0,less than 100 USD,0
0,20.95,Chateau Ste. Michelle Syrah,https://www.i-d-s.com/dubai/chateau-ste-michelle-syrah-us1040.html,usa,-,-,-,-,-,-,-,0,less than 30 USD,0
1,13.65,"Santa Margherita, Merlot IGT",https://www.i-d-s.com/dubai/santa-margherita-merlot-igt-it1075.html,italy,-,-,-,-,-,-,-,0,less than 20 USD,0
