,price_usd,Name,IDS link,country,vivino_url,vivino_rating,vivino_name,vivino_price,vivino_country,vivino_region,nb_ratings,confidence,price_bucket,confidence bucket
0,"2,527.65","2016 Chateau.Smith Haut Lafitte Rouge, Pessac -Leognan",https://www.i-d-s.com/dubai/2016-chateau-smith-haut-lafitte-rouge-pessac-leognan-fw1187.html,france,-,-,-,-,-,-,-,4,>100 USD,10
1,26.55,"L'Héritage` Pouilly-Fumé, Domaine Figeat, Loire, France",https://www.i-d-s.com/dubai/l-h-ritage-pouilly-fum-domaine-figeat-loire-france-fr1339.html,france,https://www.vivino.com/FR/en/wines/1533476,0,Domaine Marchand Val de Loire Pouilly-Fumé 0,—,france,pouilly-fume,10377,34,20 - 30 USD,40
2,20.5,"Les Hauts de Perganson, Haut-Medoc, Bordeaux",https://www.i-d-s.com/dubai/les-hauts-de-perganson-haut-medoc-bordeaux-fr1334.html,france,-,-,-,-,-,-,-,4,20 - 30 USD,10
3,28.05,"Médoc Cru Bourgeois, Château Patache d'Aux, Bordeaux, France",https://www.i-d-s.com/dubai/m-doc-cru-bourgeois-ch-teau-patache-d-aux-bordeaux-france-fr1333.html,france,https://www.vivino.com/FR/en/wines/2522751,0,Château Moulis en Médoc Grande Reserve Cru Bourgeois Vin de Bordeaux 0,—,france,moulis-en-medoc,9501,49,20 - 30 USD,50
4,80.4,"Château Durfort-Vivens, Margaux Grand Cru Classé Biodynamie",https://www.i-d-s.com/dubai/ch-teau-durfort-vivens-margaux-grand-cru-class-biodynamie-fr4158.html,france,-,-,-,-,-,-,-,3,80 - 90 USD,10
5,26,"Château Minuty ""Cuvee D'Or"" Côtes De Provence Aoc",https://www.i-d-s.com/dubai/ch-teau-minuty-cuvee-d-or-c-tes-de-provence-aoc-fr4316.html,france,-,-,-,-,-,-,-,0,20 - 30 USD,0
6,25,Domaine JM Lafont Brouilly “Les Roches”,https://www.i-d-s.com/dubai/domaine-de-bel-air-brouilly-fr1152.html,france,-,-,-,-,-,-,-,0,20 - 30 USD,0
7,13.25,"Vasse felix Classid Dry White, Sem. Sauvignon Blanc",https://www.i-d-s.com/dubai/vasse-felix-classid-dry-white-sem-sauvignon-blanc-au1154.html,australia,-,-,-,-,-,-,-,0,10 - 20 USD,0
8,17.4,St Hallett Faith Shiraz,https://www.i-d-s.com/dubai/st-hallett-faith-shiraz-au1089.html,australia,-,-,-,-,-,-,-,0,10 - 20 USD,0
9,20.58,Grant Burge Wines of Distinction Corryton Park Cabernet Sauvignon,https://www.i-d-s.com/dubai/grant-burge-wines-of-distinction-corryton-park-cabernet-sauvignon-au1086.html,australia,-,-,-,-,-,-,-,0,20 - 30 USD,0
10,21.7,Greywacke Sauvignon Blanc Magnum (1.5L),https://www.i-d-s.com/dubai/greywacke-sauvignon-blanc-magnum-1-5l-nz4012.html,new_zealand,-,-,-,-,-,-,-,0,20 - 30 USD,0
11,15.85,ROSE Coterie Cinsault Rosé,https://www.i-d-s.com/dubai/rose-coterie-cinsault-ros-za1070.html,south_africa,-,-,-,-,-,-,-,0,10 - 20 USD,0
0,19.95,"Chianti Classico Riserva Docg, Agostina Petri",https://www.i-d-s.com/dubai/chianti-classico-riserva-docg-agostina-petri-it1092.html,italy,-,-,-,-,-,-,-,0,10 - 20 USD,0
1,79.25,"Brunello Di Montalcino, San Polo, Tuscany",https://www.i-d-s.com/dubai/brunello-di-montalcino-san-polo-tuscany-it1062.html,italy,-,-,-,-,-,-,-,0,70 - 80 USD,0
2,215.45,"FSM Castello Vicchiomaggio, Merlot Toscana IGT",https://www.i-d-s.com/dubai/fsm-castello-vicchiomaggio-merlot-toscana-igt-it1099.html,italy,-,-,-,-,-,-,-,0,>100 USD,0
3,8.15,Fontana Candida Frascati Superiore DOCG,https://www.i-d-s.com/dubai/fontana-candida-frascati-superiore-docg-it1016.html,italy,-,-,-,-,-,-,-,0,0 - 10 USD,0
4,8.8,"Bodegas Habla Habla Del Silencio, Syrah-Cabernet Sauvignon-Tempranillo",https://www.i-d-s.com/dubai/bodegas-habla-habla-del-silencio-syrah-cabernet-sauvignon-tempranillo-sp4184.html,spain,-,-,-,-,-,-,-,3,0 - 10 USD,10
5,671.15,Cristal Roederer Brut 2009 Magnum,https://www.i-d-s.com/dubai/cristal-roederer-brut-2009-magnum-cp4028.html,france,https://www.vivino.com/FR/en/wines/1496773,4.6,Louis Roederer Cristal Brut Champagne (Millésimé) 0,"319,00",france,champagne,45239,52,>100 USD,60
6,268.2,Krug Grande Cuvee Brut,https://www.i-d-s.com/dubai/krug-grande-cuvee-brut-cp1061.html,france,https://www.vivino.com/FR/en/wines/164942599,4.6,Krug Grande Cuvée 0,"275,00",france,champagne,31014,83,>100 USD,90
7,295.95,"Dom Pérignon Vintage, in individual Gift Box",https://www.i-d-s.com/dubai/dom-p-rignon-vintage-in-individual-gift-box-cp1014.html,france,https://www.vivino.com/FR/en/wines/1540082,4.6,Dom Pérignon Brut Champagne 0,"248,00",france,champagne,155271,49,>100 USD,50
8,552.9,"Dom Pérignon Vintage Rosé, in individual Gift Box",https://www.i-d-s.com/dubai/dom-p-rignon-vintage-ros-in-individual-gift-box-cp1015.html,france,https://www.vivino.com/FR/en/wines/4089408,4.6,Dom Pérignon Brut Rosé Champagne 0,"510,00",france,champagne,14514,55,>100 USD,60
9,38.35,"The Prisoner Red Zinfandel Blend, Napa Valley",https://www.i-d-s.com/dubai/the-prisoner-red-zinfandel-blend-napa-valley-us2047.html,usa,https://www.vivino.com/FR/en/wines/155656811,4.6,The Prisoner Derange Red Blend 0,—,united-states,napa-valley,3514,62,30 - 40 USD,70
10,206.65,Laurent-Perrier Grand Siècle Champagne ,https://www.i-d-s.com/dubai/laurent-perrier-grand-si-cle-champagne-cp4025.html,france,https://www.vivino.com/FR/en/wines/1554466,4.5,Laurent-Perrier Grand Siècle Champagne (Grande Cuvée) 0,—,france,champagne,10863,83,>100 USD,90
11,"2,485.70","2012 Château La Mission Haut-Brion, Grand Cru Classé de Graves, Pessac-Léognan",https://www.i-d-s.com/dubai/2012-ch-teau-la-mission-haut-brion-grand-cru-class-de-graves-pessac-l-ognan-fw1188.html,france,https://www.vivino.com/FR/en/wines/2453684,4.5,Château La Mission Haut-Brion Pessac-Léognan (Grand Cru Classé de Graves) 0,—,france,pessac-leognan,16893,75,>100 USD,80
0,194.1,Perrier-Jouët Belle Epoque,https://www.i-d-s.com/dubai/perrier-jou-t-belle-epoque-cp1004.html,france,https://www.vivino.com/FR/en/wines/1517638,4.5,Perrier-Jouët Belle Epoque Brut Champagne 0,—,france,champagne,22589,75,>100 USD,80
1,28,Les Croisières Blanc Bib 5 Ltr (Chardonnay-Vermentino),https://www.i-d-s.com/dubai/les-croisi-res-blanc-bib-5-ltr-chardonnay-vermentino-fr4325.html,france,https://www.vivino.com/FR/en/wines/152791164,0,Les Croisieres Chardonnay - Vermentino 0,—,france,vin-de-pays-doc,2040,74,20 - 30 USD,80
2,"2,394.25","2013 Chateau Pavie, Saint Emilion Grand Cru",https://www.i-d-s.com/dubai/2013-chateau-pavie-saint-emilion-grand-cru-fw1042.html,france,https://www.vivino.com/FR/en/wines/3335129,4.5,Château Pavie Saint-Émilion Grand Cru (Premier Grand Cru Classé) 0,"276,00",france,st-emilion-grand-cru,16857,62,>100 USD,70
3,235.7,"Château L'Évangile, Pomerol",https://www.i-d-s.com/dubai/ch-teau-l-vangile-pomerol-fr4125.html,france,https://www.vivino.com/FR/en/wines/1881733,4.5,Château l'Évangile Pomerol 0,"159,90",france,pomerol,10313,95,>100 USD,100
4,143.5,"Bollinger La Grande Année, With Gift Box",https://www.i-d-s.com/dubai/bollinger-la-grande-ann-e-with-gift-box-cp4001.html,france,https://www.vivino.com/FR/en/wines/1512116,4.5,Bollinger La Grande Année Brut Champagne 0,"189,00",france,champagne,26552,73,>100 USD,80
5,91.85,Pine Ridge Vineyards Cabernet Sauvignon,https://www.i-d-s.com/dubai/pine-ridge-vineyards-cabernet-sauvignon-us1039.html,usa,https://www.vivino.com/FR/en/wines/173102316,4.5,Pine Ridge Locked Horns Vineyard Single Vineyard Series Cabernet Sauvignon 0,—,united-states,stags-leap-district,62,68,90 - 100 USD,70
6,19.95,"Maurodos ""San Román"" Tinta De Toro",https://www.i-d-s.com/dubai/maurodos-san-rom-n-tinta-de-toro-sp4107.html,spain,https://www.vivino.com/FR/en/wines/152428526,4.5,Bodegas San Román Cartago Paraje de Pozo 0,"79,87",spain,toro,1004,58,10 - 20 USD,60
7,283.08,"Fleur de Miraval, Rosé Champagne",https://www.i-d-s.com/dubai/fleur-de-miraval-ros-champagne-cp1030.html,france,https://www.vivino.com/FR/en/wines/165713784,4.4,Miraval Fleur de Miraval Exclusivement Rosé Champagne 0,"334,00",france,champagne,390,71,>100 USD,80
8,"4,117.75","2015 Chateau Pichon Comtesse Lalande, Grand Cru Classe",https://www.i-d-s.com/dubai/2015-chateau-pichon-comtesse-lalande-grand-cru-classe-fw1795.html,france,https://www.vivino.com/FR/en/wines/1491165,4.4,Château Pichon Longueville Comtesse de Lalande Pauillac (Grand Cru Classé) 0,"210,75",france,pauillac,41996,71,>100 USD,80
9,"4,070.05","2009 Château Lynch Bages, 5ème Cru Classé, Pauillac",https://www.i-d-s.com/dubai/2008-ch-teau-lynch-bages-5-me-cru-class-pauillac-fw1153.html,france,https://www.vivino.com/FR/en/wines/1499723,4.4,Château Lynch-Bages Pauillac (Grand Cru Classé) 0,"128,53",france,pauillac,59552,62,>100 USD,70
