,Unnamed: 0,0,1,2,country,vivino_url,vivino_rating,vivino_name,vivino_price,vivino_country,vivino_region,nb_ratings,ratio
0,0,39.99,Nicolas Feuillatte Brut with Gift Box,https://www.i-d-s.com/dubai/nicolas-feuillatte-brut-with-gift-box-cp1066.html,france,https://www.vivino.com/FR/en/wines/157213587,3.9,Nicolas Feuillatte Réserve Exclusive Brut Champagne 0,—,france,champagne-grand-cru-chouilly,26179,0
1,1,37.00,Chateau Fleur de Pedesclaux,https://www.i-d-s.com/dubai/chateau-fleur-de-pedesclaux-fr1399.html,france,https://www.vivino.com/FR/en/wines/1931635,4.0,Château Pédesclaux Fleur de Pédesclaux Pauillac 0,—,france,pauillac,7166,4
2,2,34.30,Domaine Cailbourdin Pouilly Fume ‘Les Racines’,https://www.i-d-s.com/dubai/domaine-cailbourdin-pouilly-fume-les-racines-fr1380.html,france,https://www.vivino.com/FR/en/wines/173651106,4.0,Domaine A Cailbourdin Pouilly Fume Les Racines 0,—,france,pouilly-fume,223,4
3,3,111.70,2018 Chateau Croix Mouton,https://www.i-d-s.com/dubai/2018-chateau-croix-mouton-fw1253.html,france,https://www.vivino.com/FR/en/wines/4733991,3.6,Château Croix Mouton Bordeaux Supérieur 0,—,france,bordeaux-superieur,10451,4
4,4,"1,487.50","2010 Château Beychevelle, 4ème Cru Classé, Saint-Julien",https://www.i-d-s.com/dubai/2010-ch-teau-beychevelle-4-me-cru-class-saint-julien-fw1225.html,france,https://www.vivino.com/FR/en/wines/2048358,4.3,Château Beychevelle Saint-Julien (Grand Cru Classé) 0,—,france,saint-julien,29432,3
5,5,350.45,"2020 Sarget D Gruaud Larose, Saint-Julien",https://www.i-d-s.com/dubai/2020-sarget-d-gruaud-larose-saint-julien-fw1249.html,france,https://www.vivino.com/FR/en/wines/1532644,4.0,Château Gruaud Larose Sarget de Gruaud Larose Saint-Julien 0,33.17,france,saint-julien,18391,3
6,6,720.05,2017 Château Les Ormes de Pez Cru Bourgeois Saint Estephe,https://www.i-d-s.com/dubai/2017-ch-teau-les-ormes-de-pez-cru-bourgeois-saint-estephe-fw1248.html,france,https://www.vivino.com/FR/en/wines/2096768,4.0,Château Ormes de Pez Saint-Estèphe 0,35.70,france,saint-estephe,19796,5
7,7,"1,011.80","2015 Château Corbin, Saint-Emilion",https://www.i-d-s.com/dubai/2015-ch-teau-corbin-saint-emilion-fw1246.html,france,https://www.vivino.com/FR/en/wines/1545587,4.0,Château Grand Corbin-Despagne Saint-Émilion Grand Cru (Grand Cru Classé) 0,31.90,france,st-emilion-grand-cru,8747,2
8,8,189.45,2020 Brulieres de Beychevelle,https://www.i-d-s.com/dubai/2020-brulieres-de-beychevelle-fw1247.html,france,https://www.vivino.com/FR/en/wines/3049571,4.1,Château Beychevelle Les Brulières de Beychevelle Haut-Médoc 0,—,france,haut-medoc,3457,0
9,9,24.55,"Clos l'Hermitage, Lalande de Pomerol",https://www.i-d-s.com/dubai/clos-l-hermitage-lalande-de-pomerol-fr1320.html,france,https://www.vivino.com/FR/en/wines/4986441,3.8,Bertin \u0026 Fils Clos l'Hermitage Lalande de Pomerol 0,—,france,lalande-de-pomerol,974,3
10,10,45.00,"Château Tayac, Margaux",https://www.i-d-s.com/dubai/ch-teau-tayac-margaux-fr1319.html,france,https://www.vivino.com/FR/en/wines/2031316,4.0,Château Tayac Margaux 0,24.95,france,margaux,6875,7
11,11,12.60,"Château des Antonins, Bordeaux Supérieur",https://www.i-d-s.com/dubai/ch-teau-des-antonins-bordeaux-sup-rieur-fr1332.html,france,https://www.vivino.com/FR/en/wines/4826698,3.6,Château des Antonins Bordeaux Supérieur 0,—,france,bordeaux-superieur,1089,4
12,0,22.80,"Château Mouras Graves, Bordeaux",https://www.i-d-s.com/dubai/ch-teau-mouras-graves-bordeaux-fr1337.html,france,https://www.vivino.com/FR/en/wines/2311863,3.4,Château Les Graves du Champ des Chails Blaye - Côtes de Bordeaux 0,—,france,blaye-cotes-de-bordeaux,1030,3
13,1,42.95,"Château Fleur de Lisse Saint-Émilion Grand Cru, Bordeaux",https://www.i-d-s.com/dubai/ch-teau-fleur-de-lisse-saint-milion-grand-cru-bordeaux-fr1336.html,france,https://www.vivino.com/FR/en/wines/4823445,3.9,Château Fleur de Lisse Saint-Emilion Grand Cru 0,75.00,france,st-emilion-grand-cru,1211,0
14,2,71.60,"Baron Philippe de Rothschild, Mouton Cadet Blanc",https://www.i-d-s.com/dubai/baron-philippe-de-rothschild-mini-mouton-cadet-blanc-mw1000.html,france,https://www.vivino.com/FR/en/wines/2665319,3.4,Baron Philippe de Rothschild Bordeaux Blanc 0,—,france,bordeaux,4402,4
15,3,67.70,"Baron Philippe de Rothschild, Mouton Cadet Rouge",https://www.i-d-s.com/dubai/baron-philippe-de-rothschild-mouton-cadet-rouge-mw1001.html,france,https://www.vivino.com/FR/en/wines/1516700,3.4,Baron Philippe de Rothschild Bordeaux Rouge 0,90.00,france,bordeaux,13525,4
16,4,109.45,Taittinger Rose including 2 glasses,https://www.i-d-s.com/dubai/taittinger-rose-including-2-glasses-zz11289.html,france,https://www.vivino.com/FR/en/wines/164942680,4.1,Taittinger Prestige Rosé Brut Champagne 0,80.60,france,champagne,10781,4
17,5,14.80,"Domaine de Grange Neuve, Monbazillac",https://www.i-d-s.com/dubai/domaine-de-grange-neuve-monbazillac-dw1003.html,france,https://www.vivino.com/FR/en/wines/4854764,4.0,Domaine de Grange Neuve Monbazillac 0,—,france,monbazillac,1194,5
18,6,23.55,"Louis Tete, Brouilly",https://www.i-d-s.com/dubai/louis-tete-brouilly-fr1344.html,france,https://www.vivino.com/FR/en/wines/2375335,3.8,Louis Tête Brouilly 0,19.00,france,brouilly,601,0
