price_usd,Name,ISD link,country,vivino_url,vivino_rating,vivino_name,vivino_price,vivino_country,vivino_region,nb_ratings,confidence
306.45,"Bollinger R.D 2008, With Gift Box",https://www.i-d-s.com/dubai/catalog/product/view/id/215225/s/bollinger-r-d-2008-with-gift-box-cp1072/category/483/,france,/FR/en/bollinger-r-d-extra-brut-champagne-recemment-degorge/w/1164702?year=2008&amp;price_id=39200449,4.6,R.D Extra Brut Champagne (Récemment Dégorgé) 2008,-,France,Champagne,543,27
113.8,"Bollinger P.N TX 20, With Gift Box",https://www.i-d-s.com/dubai/bollinger-p-n-tx-20-with-gift-box-cp1073.html,france,/FR/en/bollinger-pn-tx-brut-champagne-champagne/w/10831702?year=2008&amp;price_id=34538343,4.4,PN TX Brut Champagne 2008,-,France,Champagne,543,34
18.5,"Chateau du Caillau, Cahors Malbec",https://www.i-d-s.com/dubai/chateau-du-caillau-cahors-malbec-fr1415.html,france,/FR/en/caillau-87050-malbec-cahors/w/1234067?year=2008,3.7,Malbec Cahors 2008,-,France,Cahors,91,43
"1,600.00","2015 Château Montrose, 2Nd Cru Classé, Saint-Éstèphe",https://www.i-d-s.com/dubai/2015-ch-teau-montrose-2nd-cru-class-saint-st-phe-fw1212.html,france,/FR/en/chateau-montrose-saint-estephe-grand-cru-classe/w/80472?year=2008&amp;price_id=35264789,4.3,Saint-Estèphe (Grand Cru Classé) 2008,-,France,Saint-Estèphe,1769,45
79.75,Maison Roche de Bellene Gevrey-Chambertin Vieilles Vignes,https://www.i-d-s.com/dubai/maison-roche-de-bellene-gevrey-chambertin-vieilles-vignes-fr1416.html,france,/FR/en/chateau-montrose-saint-estephe-grand-cru-classe/w/80472?year=2008&amp;price_id=35264789,4.3,Saint-Estèphe (Grand Cru Classé) 2008,-,France,Saint-Estèphe,1769,30
18.1,"Causse de Theron ""Terrasse"" Cahors Malbec",https://www.i-d-s.com/dubai/causse-de-theron-terrasse-cahors-malbec-fr1413.html,france,/FR/en/chateau-montrose-saint-estephe-grand-cru-classe/w/80472?year=2008&amp;price_id=35264789,4.3,Saint-Estèphe (Grand Cru Classé) 2008,-,France,Saint-Estèphe,1769,36
27.5,"Jean-Marc Burgaud Morgon `Côte du Py', Beaujolais",https://www.i-d-s.com/dubai/jean-marc-burgaud-morgon-c-te-du-py-beaujolais-fr1412.html,france,/FR/en/jean-marc-burgaud-cote-du-py-morgon/w/1104840?price_id=30650602,3.8,Côte du Py Morgon,-,France,Morgon,3591,36
21.75,"Dominique Morel Fleurie, Beaujolais",https://www.i-d-s.com/dubai/dominique-morel-fleurie-beaujolais-fr1411.html,france,/FR/en/jean-marc-burgaud-cote-du-py-morgon/w/1104840?price_id=30650602,3.8,Côte du Py Morgon,-,France,Morgon,3591,27
9.85,Château Fontarèche Tradition Rouge Corbières,https://www.i-d-s.com/dubai/ch-teau-fontar-che-tradition-rouge-corbi-res-fr1409.html,france,/FR/en/jean-marc-burgaud-cote-du-py-morgon/w/1104840?price_id=30650602,3.8,Côte du Py Morgon,-,France,Morgon,3591,33
34.85,"Domaine de la Bégude Bandol Rosé, Provence",https://www.i-d-s.com/dubai/domaine-de-la-b-gude-bandol-ros-provence-fr1406.html,france,/FR/en/domaine-de-la-janasse-chateauneuf-du-pape-tradition-rouge/w/2445128?year=2020&amp;price_id=36941835,4.3,Châteauneuf-du-Pape (Tradition) Rouge 2020,-,France,Châteauneuf-du-Pape,343,33
10.95,TYDY  Sauvignon Blanc IGP Val de Loire ,https://www.i-d-s.com/dubai/tydy-sauvignon-blanc-igp-val-de-loire-fr1404.html,france,/FR/en/domaine-de-la-janasse-chateauneuf-du-pape-tradition-rouge/w/2445128?year=2020&amp;price_id=36941835,4.3,Châteauneuf-du-Pape (Tradition) Rouge 2020,-,France,Châteauneuf-du-Pape,343,32
7.45,"Baron de Badassière Viognier IGP  IGP Côtes de Thau, Languedoc",https://www.i-d-s.com/dubai/baron-de-badassi-re-viognier-igp-igp-c-tes-de-thau-languedoc-fr1402.html,france,/FR/en/domaine-de-la-janasse-chateauneuf-du-pape-tradition-rouge/w/2445128?year=2020&amp;price_id=36941835,4.3,Châteauneuf-du-Pape (Tradition) Rouge 2020,-,France,Châteauneuf-du-Pape,343,29
7.2,Château Haut-Blanville Merlot Pays d'Oc,https://www.i-d-s.com/dubai/ch-teau-haut-blanville-merlot-pays-d-oc-fr1408.html,france,/FR/en/chateau-haut-blanville-grande-reserve-cabernet-merlot/w/8252223,3.5,Grande Réserve Cabernet - Merlot,-,France,Pays d'Oc,152,37
13.75,Château Moncontour Vouvray Sec,https://www.i-d-s.com/dubai/ch-teau-moncontour-vouvray-sec-fr1400.html,france,/FR/en/chateau-haut-blanville-grande-reserve-cabernet-merlot/w/8252223,3.5,Grande Réserve Cabernet - Merlot,-,France,Pays d'Oc,152,26
15.8,Remoissenet Père &amp; Fils Givry Blanc,https://www.i-d-s.com/dubai/m-chapoutier-muscat-petits-grains-passerill-s-fr1422.html,france,/FR/en/laurent-miquel-pere-et-fils-cabernet-syrah/w/1427122,3.8,Père et Fils Cabernet - Syrah,-,France,Pays d'Oc,3678,41
27.99,Remoissenet Père &amp; Fils Meursault Premier Cru Charmes,https://www.i-d-s.com/dubai/catalog/product/view/id/214684/s/remoissenet-p-re-fils-givry-blanc-fr1378/category/483/,france,/FR/en/bouchard-pere-and-fils-domaines-du-chateau-de-beaune-meursault-genevrieres-premier-cru/w/1649206,4.4,Domaines du Chateau de Beaune Meursault-Genevrières Premier Cru,-,France,Meursault 1er Cru 'Genevrières',1082,52
235.7,"Georges Vigouroux Pigmentum Malbec, Cahors",https://www.i-d-s.com/dubai/catalog/product/view/id/214672/s/remoissenet-p-re-fils-meursault-premier-cru-charmes-fr1367/category/483/,france,/FR/en/bouchard-pere-and-fils-beaune-du-chateau-premier-cru/w/2504090?year=2021&amp;price_id=38665961,4.1,Beaune du Château Premier Cru 2021,-,France,Beaune Premier Cru,93,34
9,2020 Chateu Palmer Alter Ego De Palmer,https://www.i-d-s.com/dubai/georges-vigouroux-pigmentum-malbec-cahors-fr2613.html,france,/FR/en/bouchard-pere-and-fils-beaune-du-chateau-premier-cru/w/2504090?year=2021&amp;price_id=38665961,4.1,Beaune du Château Premier Cru 2021,-,France,Beaune Premier Cru,93,39
